Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"4,337",8,"4,345"
2002,11,"4,132",8,"4,140"
2002,12,"4,347",10,"4,357"
2002,TOTAL,"55,651",105,"55,756"
2003,1,"4,192",8,"4,200"
2003,2,"3,917",8,"3,925"
2003,3,"4,471",14,"4,485"
2003,4,"4,027",8,"4,035"
2003,5,"4,072",8,"4,080"
2003,6,"4,130",10,"4,140"
2003,7,"4,472",12,"4,484"
2003,8,"4,620",14,"4,634"
2003,9,"3,911",7,"3,918"
2003,10,"4,046",9,"4,055"
2003,11,"3,938",10,"3,948"
2003,12,"4,117",8,"4,125"
2003,TOTAL,"49,913",116,"50,029"
2004,1,"4,070",8,"4,078"
2004,2,"3,794",10,"3,804"
2004,3,"4,115",8,"4,123"
2004,4,"4,006",8,"4,014"
2004,5,"4,024",26,"4,050"
2004,6,"4,188",42,"4,230"
2004,7,"4,526",44,"4,570"
2004,8,"4,465",45,"4,510"
2004,9,"3,842",43,"3,885"
2004,10,"3,876",47,"3,923"
2004,11,"3,849",42,"3,891"
2004,12,"4,013",44,"4,057"
2004,TOTAL,"48,768",367,"49,135"
2005,1,"3,967",65,"4,032"
2005,2,"3,618",40,"3,658"
2005,3,"3,983",44,"4,027"
2005,4,"3,924",42,"3,966"
2005,5,"4,066",45,"4,111"
2005,6,"4,153",43,"4,196"
2005,7,"4,435",45,"4,480"
2005,8,"4,411",43,"4,454"
2005,9,"3,982",43,"4,025"
2005,10,"4,047",45,"4,092"
2005,11,"3,969",41,"4,010"
2005,12,"4,117",45,"4,162"
2005,TOTAL,"48,672",541,"49,213"
2006,1,"4,180",45,"4,225"
2006,2,"3,772",40,"3,812"
2006,3,"4,155",44,"4,199"
2006,4,"4,073",44,"4,117"
2006,5,"4,189",43,"4,232"
2006,6,"4,430",37,"4,467"
2006,7,"4,799",36,"4,835"
2006,8,"4,764",35,"4,799"
2006,9,"4,403",34,"4,437"
2006,10,"4,498",36,"4,534"
2006,11,"4,477",34,"4,511"
2006,12,"4,711",37,"4,748"
2006,TOTAL,"52,451",465,"52,916"
2007,1,"4,646",34,"4,680"
2007,2,"4,202",32,"4,234"
2007,3,"4,726",35,"4,761"
2007,4,"4,592",35,"4,627"
2007,5,"4,729",35,"4,764"
2007,6,"4,829",34,"4,863"
2007,7,"5,067",36,"5,103"
2007,8,"5,041",35,"5,076"
2007,9,"4,601",36,"4,637"
2007,10,"4,730",34,"4,764"
2007,11,"4,553",34,"4,587"
2007,12,"4,690",36,"4,726"
2007,TOTAL,"56,406",416,"56,822"
2008,1,"4,675",35,"4,710"
2008,2,"4,408",33,"4,441"
2008,3,"4,715",36,"4,751"
2008,4,"5,435",51,"5,486"
2008,5,"5,597",70,"5,667"
2008,6,"5,540",68,"5,608"
2008,7,"5,808",72,"5,880"
2008,8,"5,881",70,"5,951"
2008,9,"5,146",68,"5,214"
2008,10,"5,636",69,"5,705"
2008,11,"5,764",71,"5,835"
2008,12,"6,037",70,"6,107"
2008,TOTAL,"64,642",713,"65,355"
2009,1,"6,282",70,"6,352"
2009,2,"5,677",64,"5,741"
2009,3,"6,166",72,"6,238"
2009,4,"5,897",68,"5,965"
2009,5,"6,142",71,"6,213"
2009,6,"6,145",68,"6,213"
2009,7,"6,678",70,"6,748"
2009,8,"6,621",72,"6,693"
2009,9,"5,944",68,"6,012"
2009,10,"6,102",72,"6,174"
2009,11,"5,686",68,"5,754"
2009,12,"5,877",70,"5,947"
2009,TOTAL,"73,217",833,"74,050"
2010,1,"5,764",72,"5,836"
2010,2,"5,133",64,"5,197"
2010,3,"5,544",70,"5,614"
2010,4,"5,429",68,"5,497"
2010,5,"5,582",71,"5,653"
2010,6,"5,925",66,"5,991"
2010,7,"6,439",70,"6,509"
2010,8,"6,398",70,"6,468"
2010,9,"5,527",68,"5,595"
2010,10,"5,583",77,"5,660"
2010,11,"5,468",100,"5,568"
2010,12,"5,688",141,"5,829"
2010,TOTAL,"68,480",937,"69,417"
2011,1,"5,589",163,"5,752"
2011,2,"5,101",162,"5,263"
2011,3,"5,674",175,"5,849"
2011,4,"5,547",191,"5,738"
2011,5,"5,755",205,"5,960"
2011,6,"5,756",196,"5,952"
2011,7,"6,019",241,"6,260"
2011,8,"5,908",248,"6,156"
2011,9,"5,410",240,"5,650"
2011,10,"5,527",250,"5,777"
2011,11,"5,433",239,"5,672"
2011,12,"5,686",257,"5,943"
2011,TOTAL,"67,405","2,567","69,972"
2012,1,"5,908",270,"6,178"
2012,2,"5,652",246,"5,898"
2012,3,"6,230",266,"6,496"
2012,4,"6,083",289,"6,372"
2012,5,"6,274",331,"6,605"
2012,6,"6,487",315,"6,802"
2012,7,"6,783",343,"7,126"
2012,8,"6,653",353,"7,006"
2012,9,"6,049",344,"6,393"
2012,10,"6,287",356,"6,643"
2012,11,"6,063",368,"6,431"
2012,12,"6,117",410,"6,527"
2012,TOTAL,"74,586","3,891","78,477"
2013,1,"6,039",406,"6,445"
2013,2,"5,440",367,"5,807"
2013,3,"6,054",445,"6,499"
2013,4,"5,840",447,"6,287"
2013,5,"6,056",469,"6,525"
2013,6,"6,323",423,"6,746"
2013,7,"6,661",452,"7,113"
2013,8,"6,469",431,"6,900"
2013,9,"5,852",445,"6,297"
2013,10,"5,994",467,"6,461"
2013,11,"5,842",423,"6,265"
2013,12,"6,093",443,"6,536"
2013,TOTAL,"72,663","5,218","77,881"
2014,1,"6,037",427,"6,464"
2014,2,"5,444",384,"5,828"
2014,3,"6,086",426,"6,512"
2014,4,"5,933",408,"6,341"
2014,5,"6,229",422,"6,651"
2014,6,"6,393",401,"6,794"
2014,7,"6,819",353,"7,172"
2014,8,"6,795",359,"7,154"
2014,9,"6,194",341,"6,535"
2014,10,"6,322",353,"6,675"
2014,11,"6,142",346,"6,488"
2014,12,"6,445",351,"6,796"
2014,TOTAL,"74,839","4,571","79,410"
2015,1,"6,429",360,"6,789"
2015,2,"5,831",320,"6,151"
2015,3,"6,321",353,"6,674"
2015,4,"6,098",347,"6,445"
2015,5,"6,453",357,"6,810"
2015,6,"6,671",339,"7,010"
2015,7,"6,947",352,"7,299"
2015,8,"6,874",362,"7,236"
2015,9,"6,142",339,"6,481"
2015,10,"6,248",358,"6,606"
2015,11,"6,049",341,"6,390"
2015,12,"6,311",355,"6,666"
2015,TOTAL,"76,374","4,183","80,557"
2016,1,"6,297",355,"6,652"
2016,2,"5,912",317,"6,229"
2016,3,"6,379",345,"6,724"
2016,4,"6,243",344,"6,587"
2016,5,"6,420",354,"6,774"
2016,6,"6,743",341,"7,084"
2016,7,"7,035",373,"7,408"
2016,8,"7,042",413,"7,455"
2016,9,"6,181",403,"6,584"
2016,10,"6,246",410,"6,656"
2016,11,"6,080",,
2016,12,"6,368",,
