Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"12,931","1,482","14,413"
2002,11,"12,004","1,795","13,799"
2002,12,"12,627","1,865","14,492"
2002,TOTAL,"156,439","18,706","175,145"
2003,1,"12,421","1,799","14,220"
2003,2,"11,151","1,673","12,824"
2003,3,"12,551","1,878","14,429"
2003,4,"12,510","1,765","14,275"
2003,5,"13,508","1,541","15,049"
2003,6,"14,557","1,546","16,103"
2003,7,"15,488","1,675","17,163"
2003,8,"15,432","1,690","17,122"
2003,9,"13,419","1,400","14,819"
2003,10,"13,450","1,487","14,937"
2003,11,"12,581","1,752","14,333"
2003,12,"13,257","1,833","15,090"
2003,TOTAL,"160,325","20,039","180,364"
2004,1,"12,314","1,796","14,110"
2004,2,"12,259","1,699","13,958"
2004,3,"13,481","1,823","15,304"
2004,4,"13,176","1,707","14,883"
2004,5,"14,048","1,503","15,551"
2004,6,"14,600","1,589","16,189"
2004,7,"15,454","1,690","17,144"
2004,8,"15,401","1,691","17,092"
2004,9,"13,656","1,470","15,126"
2004,10,"13,534","1,456","14,990"
2004,11,"12,701","1,760","14,461"
2004,12,"13,096","1,806","14,902"
2004,TOTAL,"163,720","19,990","183,710"
2005,1,"12,796","1,783","14,579"
2005,2,"11,770","1,674","13,444"
2005,3,"13,065","1,926","14,991"
2005,4,"12,534","1,867","14,401"
2005,5,"12,522","1,669","14,191"
2005,6,"13,417","1,516","14,933"
2005,7,"14,251","1,569","15,820"
2005,8,"14,263","1,695","15,958"
2005,9,"13,021","1,537","14,558"
2005,10,"13,116","1,546","14,662"
2005,11,"12,304","1,860","14,164"
2005,12,"12,772","1,954","14,726"
2005,TOTAL,"155,831","20,596","176,427"
2006,1,"12,572","1,979","14,551"
2006,2,"11,397","1,750","13,147"
2006,3,"12,946","1,970","14,916"
2006,4,"12,630","1,901","14,531"
2006,5,"13,414","1,548","14,962"
2006,6,"13,897","1,497","15,394"
2006,7,"14,514","1,601","16,115"
2006,8,"14,612","1,604","16,216"
2006,9,"13,180","1,433","14,613"
2006,10,"13,165","1,541","14,706"
2006,11,"12,287","1,970","14,257"
2006,12,"12,708","2,062","14,770"
2006,TOTAL,"157,322","20,856","178,178"
2007,1,"12,468","2,044","14,512"
2007,2,"11,492","1,843","13,335"
2007,3,"12,812","2,059","14,871"
2007,4,"12,658","1,962","14,620"
2007,5,"13,968","1,581","15,549"
2007,6,"14,179","1,539","15,718"
2007,7,"14,648","1,537","16,185"
2007,8,"14,611","1,532","16,143"
2007,9,"13,376","1,441","14,817"
2007,10,"13,231","1,532","14,763"
2007,11,"12,262","1,820","14,082"
2007,12,"12,769","1,884","14,653"
2007,TOTAL,"158,474","20,774","179,248"
2008,1,"12,506","1,870","14,376"
2008,2,"11,795","1,753","13,548"
2008,3,"12,804","1,881","14,685"
2008,4,"12,471","1,768","14,239"
2008,5,"13,117","1,454","14,571"
2008,6,"13,388","1,291","14,679"
2008,7,"14,200","1,255","15,455"
2008,8,"13,738","1,176","14,914"
2008,9,"12,112",913,"13,025"
2008,10,"12,306",952,"13,258"
2008,11,"11,061","1,174","12,235"
2008,12,"10,847","1,258","12,105"
2008,TOTAL,"150,345","16,745","167,090"
2009,1,"11,071","1,276","12,347"
2009,2,"10,183","1,142","11,325"
2009,3,"11,114","1,264","12,378"
2009,4,"11,029","1,226","12,255"
2009,5,"11,809","1,004","12,813"
2009,6,"12,127",926,"13,053"
2009,7,"12,760",761,"13,521"
2009,8,"12,618",744,"13,362"
2009,9,"11,222",685,"11,907"
2009,10,"11,409",724,"12,133"
2009,11,"10,415","1,082","11,497"
2009,12,"10,716","1,252","11,968"
2009,TOTAL,"136,473","12,086","148,559"
2010,1,"10,482","1,215","11,697"
2010,2,"9,482","1,056","10,538"
2010,3,"10,914","1,183","12,097"
2010,4,"10,730","1,173","11,903"
2010,5,"11,584","1,007","12,591"
2010,6,"12,339",845,"13,184"
2010,7,"12,934",856,"13,790"
2010,8,"12,843",850,"13,693"
2010,9,"11,521",808,"12,329"
2010,10,"11,623",903,"12,526"
2010,11,"11,050","1,106","12,156"
2010,12,"11,465","1,273","12,738"
2010,TOTAL,"136,967","12,275","149,242"
2011,1,"11,400","1,251","12,651"
2011,2,"10,355","1,212","11,567"
2011,3,"11,878","1,367","13,245"
2011,4,"11,703","1,317","13,020"
2011,5,"12,136","1,086","13,222"
2011,6,"12,836",991,"13,827"
2011,7,"13,304","1,036","14,340"
2011,8,"13,260","1,018","14,278"
2011,9,"11,806",960,"12,766"
2011,10,"11,894",998,"12,892"
2011,11,"11,193","1,174","12,367"
2011,12,"11,446","1,253","12,699"
2011,TOTAL,"143,211","13,663","156,874"
2012,1,"11,017","1,261","12,278"
2012,2,"10,753","1,181","11,934"
2012,3,"12,020","1,323","13,343"
2012,4,"11,899","1,243","13,142"
2012,5,"12,610","1,041","13,651"
2012,6,"13,278",957,"14,235"
2012,7,"13,816",974,"14,790"
2012,8,"13,655",958,"14,613"
2012,9,"11,941",898,"12,839"
2012,10,"11,947",990,"12,937"
2012,11,"11,723","1,066","12,789"
2012,12,"11,997","1,196","13,193"
2012,TOTAL,"146,656","13,088","159,744"
2013,1,"11,985","1,198","13,183"
2013,2,"10,869","1,086","11,955"
2013,3,"12,662","1,297","13,959"
2013,4,"12,562","1,204","13,766"
2013,5,"13,061","1,067","14,128"
2013,6,"13,988","1,083","15,071"
2013,7,"14,730","1,116","15,846"
2013,8,"14,505","1,090","15,595"
2013,9,"12,632",892,"13,524"
2013,10,"12,639",948,"13,587"
2013,11,"12,299","1,181","13,480"
2013,12,"12,527","1,182","13,709"
2013,TOTAL,"154,459","13,344","167,803"
2014,1,"12,277","1,210","13,487"
2014,2,"11,230","1,094","12,324"
2014,3,"12,907","1,249","14,156"
2014,4,"12,666","1,206","13,872"
2014,5,"13,228","1,041","14,269"
2014,6,"14,156","1,086","15,242"
2014,7,"14,984","1,136","16,120"
2014,8,"15,086","1,061","16,147"
2014,9,"13,282",669,"13,951"
2014,10,"13,386",657,"14,043"
2014,11,"13,038","1,052","14,090"
2014,12,"13,598","1,182","14,780"
2014,TOTAL,"159,838","12,643","172,481"
2015,1,"13,231","1,136","14,367"
2015,2,"12,139",980,"13,119"
2015,3,"14,303","1,180","15,483"
2015,4,"13,942","1,078","15,020"
2015,5,"14,672",831,"15,503"
2015,6,"15,039",781,"15,820"
2015,7,"15,814",772,"16,586"
2015,8,"16,089",794,"16,883"
2015,9,"14,257",703,"14,960"
2015,10,"14,458",845,"15,303"
2015,11,"13,956","1,139","15,095"
2015,12,"14,469","1,256","15,725"
2015,TOTAL,"172,369","11,495","183,864"
2016,1,"14,113","1,253","15,366"
2016,2,"13,382","1,150","14,532"
2016,3,"14,761","1,268","16,029"
2016,4,"14,673","1,132","15,805"
2016,5,"15,396",890,"16,286"
2016,6,"15,737",934,"16,671"
2016,7,"16,271",992,"17,263"
2016,8,"16,519",963,"17,482"
2016,9,"13,873",920,"14,793"
2016,10,"14,059","1,118","15,177"
2016,11,"13,953",,
2016,12,"14,409",,
2016,TOTAL,"177,146","10,620","159,404"
2017,1,"14,525",,
2017,TOTAL,"14,525",0,0
